city,iso_alpha3,latitude,longitude,continent,who_region,wb_income_group,year,data_days,temp_mean_c,temp_max_c,temp_min_c,temp_std_c,temp_range_mean_c,temp_seasonal_amp,temp_anomaly,days_above_35c,days_above_40c,days_below_0c,days_below_minus10c,heat_stress_index,cold_stress_index,drought_stress_days,ideal_climate_days,precip_total_mm,precip_mean_mm,precip_max_day_mm,precip_std_mm,precip_yoy_change,days_heavy_rain,days_moderate_rain,days_dry,rh_mean_pct,rh_max_pct,dewpoint_mean_c,humidity_stress_days,wind_mean_ms,wind_max_ms,wind_std_ms,high_wind_days,wind_power_density,solar_total_mj,solar_mean_mj,solar_clear_mean_mj,solar_clearness_idx,solar_peak_days,solar_annual_kwh_m2,pressure_mean_kpa,pressure_std_kpa,climate_volatility,gdp_per_capita_usd,population,urban_pop_pct,energy_use_kg_oil_eq,target_rainfall,precip_total_mm_lag1,precip_total_mm_lag2,precip_total_mm_lag3,precip_total_mm_lag4,precip_total_mm_lag5,rh_mean_pct_lag1,rh_mean_pct_lag2,rh_mean_pct_lag3,rh_mean_pct_lag4,rh_mean_pct_lag5,pressure_mean_kpa_lag1,pressure_mean_kpa_lag2,pressure_mean_kpa_lag3,pressure_mean_kpa_lag4,pressure_mean_kpa_lag5,solar_total_mj_lag1,solar_total_mj_lag2,solar_total_mj_lag3,solar_total_mj_lag4,solar_total_mj_lag5,wind_mean_ms_lag1,wind_mean_ms_lag2,wind_mean_ms_lag3,wind_mean_ms_lag4,wind_mean_ms_lag5,rain_roll3_mean,rain_roll3_std,humidity_roll3,pressure_roll3,solar_roll3,wind_roll3,rain_roll5_mean,rain_roll5_std,humidity_roll5,pressure_roll5,solar_roll5,wind_roll5,rain_roll7_mean,rain_roll7_std,humidity_roll7,pressure_roll7,solar_roll7,wind_roll7,rainfall_trend,rainfall_acceleration,humidity_trend,pressure_trend,solar_trend,wind_trend,years_since_1990
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2010,365.0,27.2407397260274,46.2,5.16,8.084399625726391,9.442986301369864,21.33290322580645,0.9796,165.0,89.0,0.0,0.0,4.0,0.0,209.0,90.0,6.649999999999999,0.0182191780821917,2.31,0.1538332769712659,-33.01,0.0,0.0,354.0,43.747726027397256,86.47,12.351369863013698,5.0,4.468712328767123,9.22,1.7316584304547953,0.0,54.6579,2084.4575,5.710842465753425,5.931799452054794,0.6480547945205479,0.0,579.06,100.77627397260272,0.7836991962655743,0.044,39212.252220155,2943372.0,100.0,11313.7461647106,35.44,39.66,46.31999999999999,78.50999999999999,43.150000000000006,111.62,46.04241095890411,44.54002732240436,45.544,45.21457534246575,45.84449315068493,100.83923287671232,100.82292349726777,100.79816438356164,100.81145205479451,100.84687671232876,2007.4439,2072.6244,2082.8938000000003,2070.7987000000003,2082.1192,4.809424657534247,4.795601092896175,4.661506849315068,4.753808219178082,4.749616438356164,54.82999999999999,20.776084809222223,45.375479427102825,100.82010691918056,2054.3207000000007,4.75551086658183,63.852,30.89431776233291,45.43710135489183,100.823729904933,2063.1760000000004,4.753991451455947,58.464285714285715,27.972964839372395,45.47357127885963,100.83078855346317,2078.2017714285716,4.771113000331504,-6.659999999999997,25.53,1.5023836364997436,0.01630937944455013,-65.18050000000017,0.01382356463807266,20
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2011,365.0,25.658027397260277,46.03,4.72,9.111733435962586,9.135698630136986,23.277419354838703,-0.4759,147.0,76.0,0.0,0.0,1.0,1.0,192.0,50.0,35.44,0.0970958904109589,18.28,1.105538406999598,28.79,0.0,2.0,345.0,43.71416438356164,88.94,10.783068493150685,6.0,5.031780821917808,11.11,1.7982515489073485,2.0,78.0317,2048.3391,5.61188794520548,5.927508219178082,0.6330684931506849,0.0,569.03,100.78868493150684,0.83251500459554,0.3779,49169.6063813095,3132814.0,100.0,10506.465965957,19.700000000000003,6.649999999999999,39.66,46.31999999999999,78.50999999999999,43.150000000000006,43.747726027397256,46.04241095890411,44.54002732240436,45.544,45.21457534246575,100.77627397260272,100.83923287671232,100.82292349726777,100.79816438356164,100.81145205479451,2084.4575,2007.4439,2072.6244,2082.8938000000003,2070.7987000000003,4.468712328767123,4.809424657534247,4.795601092896175,4.661506849315068,4.753808219178082,30.876666666666665,21.24352685721764,44.77672143623524,100.8128101155276,2054.8419333333336,4.691246026399181,42.858,25.51657441742521,45.01774793023429,100.8096093569878,2063.64366,4.697810629538139,54.92714285714286,33.065910801652805,45.17979828473046,100.82246370023418,2075.3847,4.695621806593736,-33.01,-26.349999999999994,-2.2946849315068505,-0.0629589041095926,77.0136,-0.34071232876712454,21
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2012,366.0,26.065409836065577,46.99,3.54,9.02902984647634,8.965081967213115,24.17,-0.0635,160.0,78.0,0.0,0.0,1.0,1.0,197.0,53.0,19.700000000000003,0.0538251366120218,4.37,0.3374174472705648,-15.74,0.0,0.0,344.0,44.654371584699454,89.54,11.394644808743172,9.0,4.781338797814208,11.95,1.8470189562177184,3.0,66.9506,2056.7205,5.619454918032787,5.921496448087432,0.63051912568306,0.0,571.36,100.7998087431694,0.821961047325607,0.1126,52155.2225833921,3337109.0,100.0,10426.982707218,13.63,35.44,6.649999999999999,39.66,46.31999999999999,78.50999999999999,43.71416438356164,43.747726027397256,46.04241095890411,44.54002732240436,45.544,100.78868493150684,100.77627397260272,100.83923287671232,100.82292349726777,100.79816438356164,2048.3391,2084.4575,2007.4439,2072.6244,2082.8938000000003,5.031780821917808,4.468712328767123,4.809424657534247,4.795601092896175,4.661506849315068,27.25,17.964467707115446,44.50143378995434,100.80139726027396,2046.7468333333336,4.769972602739727,41.315999999999995,25.726615206824214,44.71766573845347,100.80505593233026,2059.1517400000002,4.753405150086084,51.62142857142857,33.78865165928324,44.94962816934543,100.8119440612535,2064.096657142857,4.752921486852095,28.79,61.8,-0.03356164383561833,0.01241095890411259,-36.11839999999984,0.5630684931506851,22
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2013,365.0,25.77120547945206,44.68,4.38,8.247211794841995,9.146657534246575,22.52032258064516,-0.3531,140.0,70.0,0.0,0.0,0.0,2.0,185.0,72.0,13.63,0.0373424657534246,3.61,0.2712472321820648,-6.07,0.0,0.0,351.0,44.71490410958904,86.86,11.161643835616438,9.0,5.051972602739727,11.03,2.024752854085271,3.0,78.9749,2101.3747,5.7571909589041095,6.040076438356165,0.6444657534246575,0.0,583.76,100.8233698630137,0.8568453433939291,0.0836,49651.0439275077,3507844.0,100.0,9778.60747500995,113.91,19.700000000000003,35.44,6.649999999999999,39.66,46.31999999999999,44.654371584699454,43.71416438356164,43.747726027397256,46.04241095890411,44.54002732240436,100.7998087431694,100.78868493150684,100.77627397260272,100.83923287671232,100.82292349726777,2056.7205,2048.3391,2084.4575,2007.4439,2072.6244,4.781338797814208,5.031780821917808,4.468712328767123,4.809424657534247,4.795601092896175,20.596666666666668,14.415929846295967,44.038753998552785,100.78825588242633,2063.172366666667,4.760610649499713,29.554000000000002,16.12117799666014,44.539740055393366,100.80538480425182,2053.91708,4.7773715397859124,38.489999999999995,22.591097066470017,44.77961080277608,100.80522006565931,2060.4682714285714,4.757453252488959,-15.739999999999995,-44.529999999999994,0.9402072011378166,0.01112381166255716,8.381399999999758,-0.2504420241035996,23
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2014,365.0,26.10969863013699,44.89,5.23,8.761407425394726,9.005945205479453,23.27677419354839,-0.0593,158.0,79.0,0.0,0.0,4.0,0.0,198.0,72.0,113.91,0.3120821917808219,16.5,1.73857038144789,100.28,0.0,9.0,335.0,47.22526027397261,91.48,12.339945205479452,15.0,4.886547945205479,10.5,1.826978718374339,1.0,71.4682,2092.4724,5.732801095890411,6.049585479452054,0.6432602739726027,0.0,581.29,100.89613698630136,0.8089235371007008,0.5619,44368.7813457751,3665876.0,100.0,8692.30403888948,21.97,13.63,19.700000000000003,35.44,6.649999999999999,39.66,44.71490410958904,44.654371584699454,43.71416438356164,43.747726027397256,46.04241095890411,100.8233698630137,100.7998087431694,100.78868493150684,100.77627397260272,100.83923287671232,2101.3747,2056.7205,2048.3391,2084.4575,2007.4439,5.051972602739727,4.781338797814208,5.031780821917808,4.468712328767123,4.809424657534247,22.923333333333332,11.25661731308864,44.36114669261671,100.80395451256332,2068.8114333333338,4.955030740823915,23.016,14.127254864268545,44.5747154128303,100.80547407740099,2059.66714,4.828645841754622,34.27285714285714,24.2691846548154,44.7082291980794,100.80692260969063,2064.8362714285713,4.800048164426337,-6.070000000000002,9.669999999999995,0.060532524889588046,0.023561119844302425,44.654199999999946,0.27063380492551836,24
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2015,365.0,26.46361643835617,45.99,4.68,9.053660425773852,8.985068493150685,24.40032258064516,0.45,153.0,89.0,0.0,0.0,4.0,1.0,195.0,60.0,21.97,0.0601917808219178,3.82,0.3425449620577725,-91.94,0.0,0.0,344.0,45.69553424657534,87.79,12.098,7.0,4.776739726027398,10.18,1.911009758597786,2.0,66.7576,2036.049,5.578216438356164,5.885710958904109,0.6260821917808219,0.0,565.61,100.91528767123287,0.8107212478671002,0.1129,29882.2126495698,3834574.0,100.0,9738.48954876555,22.82,113.91,13.63,19.700000000000003,35.44,6.649999999999999,47.22526027397261,44.71490410958904,44.654371584699454,43.71416438356164,43.747726027397256,100.89613698630136,100.8233698630137,100.7998087431694,100.78868493150684,100.77627397260272,2092.4724,2101.3747,2056.7205,2048.3391,2084.4575,4.886547945205479,5.051972602739727,4.781338797814208,5.031780821917808,4.468712328767123,49.080000000000005,56.226398604214324,45.53151198942037,100.83977186416148,2083.5225333333333,4.9066197819198045,37.866,43.81894943971157,44.811285275844,100.8168548993188,2076.67284,4.844070499288868,39.32999999999999,35.91677138422481,44.94840923721836,100.82091869579631,2066.204642857143,4.832196892410681,100.28,106.35,2.510356164383566,0.07276712328766166,-8.902299999999741,-0.1654246575342473,25
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2016,366.0,26.51513661202186,47.78,3.35,9.099252437029806,9.29915300546448,25.213548387096772,0.3301,157.0,92.0,0.0,0.0,0.0,3.0,201.0,64.0,22.82,0.0623497267759562,6.12,0.4588782607380818,0.85,0.0,1.0,346.0,42.33573770491802,80.88,11.152677595628417,1.0,4.902267759562841,10.81,1.9083131888499152,2.0,72.1601,2125.0938,5.8062672131147535,6.043201639344261,0.6530327868852459,0.0,590.35,100.91013661202186,0.8409412423391102,0.1518,27323.6890735517,4004096.0,100.0,9693.77926411987,4.319999999999999,21.97,113.91,13.63,19.700000000000003,35.44,45.69553424657534,47.22526027397261,44.71490410958904,44.654371584699454,43.71416438356164,100.91528767123287,100.89613698630136,100.8233698630137,100.7998087431694,100.78868493150684,2036.049,2092.4724,2101.3747,2056.7205,2048.3391,4.776739726027398,4.886547945205479,5.051972602739727,4.781338797814208,5.031780821917808,49.836666666666666,55.64560120380881,45.87856621004567,100.87826484018264,2076.6320333333338,4.905086757990868,40.92999999999999,41.568332297555536,45.20084691967961,100.84465763904483,2066.9911399999996,4.905675978740924,35.85142857142857,36.304024307952204,45.11348165495706,100.83411357779131,2060.979585714286,4.829502411429426,-91.94,-192.22,-1.5297260273972668,0.019150684931517503,-56.42340000000013,-0.10980821917808115,26
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2017,365.0,26.761945205479453,46.94,3.68,9.387374458694964,9.547808219178082,25.71289170506912,0.4376,160.0,109.0,0.0,0.0,1.0,2.0,211.0,73.0,4.319999999999999,0.0118356164383561,1.29,0.0810011215664158,-18.5,0.0,0.0,354.0,41.913917808219175,88.11,11.129753424657537,1.0,4.823972602739726,12.29,1.9188418981293265,4.0,68.7576,2067.1845000000003,5.6635191780821925,5.984367671232876,0.6396986301369864,0.0,574.26,100.8704109589041,0.8409293628398079,0.0274,29047.6536135703,4154812.0,100.0,9535.25160630279,84.94,22.82,21.97,113.91,13.63,19.700000000000003,42.33573770491802,45.69553424657534,47.22526027397261,44.71490410958904,44.654371584699454,100.91013661202186,100.91528767123287,100.89613698630136,100.8233698630137,100.7998087431694,2125.0938,2036.049,2092.4724,2101.3747,2056.7205,4.902267759562841,4.776739726027398,4.886547945205479,5.051972602739727,4.781338797814208,52.9,52.837919149035336,45.08551074182199,100.90718708985203,2084.5384000000004,4.855185143598573,38.406,42.36060705419599,44.92516158395089,100.86894797514785,2082.34208,4.879773366269931,33.44571428571429,36.566591700231406,44.58395690438762,100.84424268283553,2077.7867142857144,4.842765711719227,0.8500000000000014,92.78999999999999,-3.3597965416573246,-0.005151059211016218,89.04480000000012,0.12552803353544295,27
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2018,365.0,27.15106849315068,46.12,7.5,8.293985687259214,8.966547945205479,22.446774193548386,0.5508,155.0,105.0,0.0,0.0,2.0,0.0,188.0,81.0,84.94,0.2327123287671232,16.02,1.174452894365652,80.62,0.0,5.0,320.0,46.24624657534247,88.38,12.995671232876711,5.0,4.858054794520548,11.2,1.9696971645575967,3.0,70.2253,2039.9174,5.588814794520548,5.930538904109589,0.627945205479452,0.0,566.69,100.80361643835616,0.8185111555849128,0.346,32067.9623756889,4323515.0,100.0,9781.8532163362,20.86,4.319999999999999,22.82,21.97,113.91,13.63,41.913917808219175,42.33573770491802,45.69553424657534,47.22526027397261,44.71490410958904,100.8704109589041,100.91013661202186,100.91528767123287,100.89613698630136,100.8233698630137,2067.1845000000003,2125.0938,2036.049,2092.4724,2101.3747,4.823972602739726,4.902267759562841,4.776739726027398,4.886547945205479,5.051972602739727,16.37,10.444256795004264,43.315063253237504,100.89861174738628,2076.1091000000006,4.834326696109989,35.33,44.559836736684744,44.37707082865484,100.88306841829478,2084.43488,4.888300127255034,33.112857142857145,36.86058225000695,44.321984301647895,100.85769082373574,2075.319142857143,4.893517179429598,-18.5,-19.35,-0.42181989669884246,-0.03972565311775611,-57.9092999999998,-0.07829515682311516,28
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2019,365.0,26.808054794520544,45.99,5.12,8.989894344577115,8.92791780821918,22.902258064516133,0.0681,166.0,112.0,0.0,0.0,1.0,0.0,191.0,57.0,20.86,0.0571506849315068,2.56,0.2587492990505379,-64.08,0.0,0.0,333.0,45.89509589041096,88.52,12.501013698630135,5.0,4.9058904109589045,10.44,1.9832051949054843,3.0,72.3202,2092.5398,5.732985753424658,6.080882465753425,0.6381643835616438,0.0,581.31,100.83312328767124,0.8096839015768302,0.0836,31707.8737443551,4442316.0,100.0,8355.80189447324,22.76,84.94,4.319999999999999,22.82,21.97,113.91,46.24624657534247,41.913917808219175,42.33573770491802,45.69553424657534,47.22526027397261,100.80361643835616,100.8704109589041,100.91013661202186,100.91528767123287,100.89613698630136,2039.9174,2067.1845000000003,2125.0938,2036.049,2092.4724,4.858054794520548,4.823972602739726,4.902267759562841,4.776739726027398,4.886547945205479,37.36,42.23096967866111,43.49863402949322,100.86138800309404,2077.398566666667,4.861431718941039,49.592,47.21110854449405,44.68333932180552,100.87911773336327,2072.14342,4.849516565611198,40.184285714285714,41.79875710159452,44.683710329045155,100.85982389614277,2074.116042857143,4.868699175515704,80.62,99.12,4.332328767123293,-0.0667945205479441,-27.267100000000255,0.03408219178082206,29
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2020,366.0,26.76838797814208,48.49,3.77,8.918697575058921,8.965819672131147,24.344516129032264,-0.0325,149.0,103.0,0.0,0.0,5.0,1.0,197.0,68.0,22.76,0.0621857923497267,3.28,0.3105798878815142,1.9,0.0,0.0,338.0,45.82371584699453,83.27,12.376393442622948,7.0,4.825819672131147,10.31,1.861016737941822,1.0,68.8366,2118.9966000000004,5.789608196721312,6.0760860655737705,0.6491530054644808,0.0,588.66,100.8213661202186,0.8397131227999481,0.0998,25236.0755848941,4400267.0,100.0,8874.99125301981,16.03,20.86,84.94,4.319999999999999,22.82,21.97,45.89509589041096,46.24624657534247,41.913917808219175,42.33573770491802,45.69553424657534,100.83312328767124,100.80361643835616,100.8704109589041,100.91013661202186,100.91528767123287,2092.5398,2039.9174,2067.1845000000003,2125.0938,2036.049,4.9058904109589045,4.858054794520548,4.823972602739726,4.902267759562841,4.776739726027398,36.70666666666666,42.58208230386728,44.68508675799087,100.83571689497717,2066.5472333333337,4.862639269406393,30.982000000000006,31.115178289702918,44.41730644509319,100.86651499363725,2072.1569,4.853385058761883,40.35000000000001,41.70620737172509,44.86095665843252,100.86458311678588,2079.2330857142856,4.886492263107804,-64.08,-144.7,-0.35115068493151114,0.029506849315083628,52.62239999999997,0.04783561643835643,30
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2021,365.0,27.411260273972605,46.35,4.26,8.852791020175868,9.492301369863014,24.43,0.4312,175.0,104.0,0.0,0.0,1.0,1.0,210.0,59.0,16.03,0.043917808219178,4.01,0.3102236765459535,-6.73,0.0,0.0,350.0,41.792136986301365,83.78,11.70054794520548,3.0,5.24227397260274,12.44,2.029826640003787,7.0,88.2399,2112.7733,5.78842,6.060548493150685,0.6491506849315068,0.0,586.93,100.80553424657532,0.819904880609347,0.0967,34018.6342592913,4360865.0,100.0,8573.69391090114,20.29,22.76,20.86,84.94,4.319999999999999,22.82,45.82371584699453,45.89509589041096,46.24624657534247,41.913917808219175,42.33573770491802,100.8213661202186,100.83312328767124,100.80361643835616,100.8704109589041,100.91013661202186,2118.9966000000004,2092.5398,2039.9174,2067.1845000000003,2125.0938,4.825819672131147,4.9058904109589045,4.858054794520548,4.823972602739726,4.902267759562841,42.85333333333333,36.46050100222607,45.98835277091599,100.81936861541533,2083.8179333333337,4.863254959203533,31.139999999999997,31.059932388851074,44.44294276517702,100.84773068343439,2088.7464200000004,4.863201047982633,41.65428571428572,40.86560895469561,45.019358335204736,100.86429686781516,2081.7505,4.854184701592293,1.9000000000000021,65.98,-0.07138004341642556,-0.011757167452643102,26.456800000000385,-0.08007073882775728,31
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2022,365.0,27.03241095890412,46.74,4.14,8.673345185035625,9.144657534246576,24.407741935483877,-0.0018,157.0,97.0,0.0,0.0,6.0,1.0,211.0,60.0,20.29,0.0555890410958904,4.11,0.3220606657247132,4.26,0.0,0.0,342.0,43.86706849315068,88.0,12.011780821917808,7.0,4.8453698630136985,10.43,1.9046661002613745,1.0,69.6766,1996.5519,5.470005205479452,5.793423287671233,0.6144109589041096,0.0,554.64,100.78071232876712,0.8167192053726339,0.0996,39981.7691035833,4589643.0,100.0,9132.60590930826,72.33,16.03,22.76,20.86,84.94,4.319999999999999,41.792136986301365,45.82371584699453,45.89509589041096,46.24624657534247,41.913917808219175,100.80553424657532,100.8213661202186,100.83312328767124,100.80361643835616,100.8704109589041,2112.7733,2118.9966000000004,2092.5398,2039.9174,2067.1845000000003,5.24227397260274,4.825819672131147,4.9058904109589045,4.858054794520548,4.823972602739726,19.883333333333336,3.4696733755969773,44.50364957456895,100.82000788482172,2108.1032333333337,4.991328018564263,29.782,31.65733122042981,44.334222621453705,100.82681021034509,2086.28232,4.931202290590614,27.67142857142857,26.099366804944747,44.243197865537404,100.85135361928288,2084.6506285714286,4.9050027055061864,-6.73,-8.630000000000003,-4.031578860693166,-0.015831873643278982,-6.223300000000563,0.4164543004715924,32
Kuwait City,KWT,29.37,47.98,E.Mediterranean,EMR,High,2023,365.0,27.09550684931507,45.49,4.97,8.903585527788211,8.923424657534246,24.50967741935484,0.0724,159.0,101.0,0.0,0.0,1.0,1.0,204.0,79.0,72.33,0.1981643835616438,12.56,1.076455659138177,52.04,0.0,4.0,331.0,46.39789041095892,89.82,13.003369863013695,6.0,4.937013698630136,9.89,1.935917481987436,0.0,73.7054,1990.3516,5.453018082191781,5.874365205479452,0.6090958904109589,0.0,552.92,100.87750684931508,0.8067592734918175,0.3411,34075.849012909,4853420.0,100.0,8952.27483065729,102.64,20.29,16.03,22.76,20.86,84.94,43.86706849315068,41.792136986301365,45.82371584699453,45.89509589041096,46.24624657534247,100.78071232876712,100.80553424657532,100.8213661202186,100.83312328767124,100.80361643835616,1996.5519,2112.7733,2118.9966000000004,2092.5398,2039.9174,4.8453698630136985,5.24227397260274,4.825819672131147,4.9058904109589045,4.858054794520548,19.69333333333333,3.404443175223595,43.827640442148855,100.80253756518702,2076.1072666666673,4.971154502582529,32.976,29.152713938842812,44.72485275844,100.8088704843177,2072.1558,4.935481742645408,27.431428571428572,26.168166684333308,43.98198847219102,100.83212857035919,2079.008185714286,4.914807010789944,4.259999999999998,10.989999999999998,2.0749315068493175,-0.02482191780819676,-116.2213999999999,-0.3969041095890411,33
Kyiv,UKR,50.45,30.52,Europe,EUR,LowerMid,2001,365.0,7.446273972602739,33.18,-23.89,11.135976043984888,8.94682191780822,35.69516129032258,0.0187,0.0,0.0,145.0,41.0,0.0,68.0,11.0,49.0,664.96,1.8218082191780824,33.08,3.5259193355664378,40.34,2.0,39.0,123.0,78.88021917808219,99.5,3.3349315068493155,162.0,4.178794520547946,10.7,1.6993751838115407,1.0,44.695,1175.0927,3.2194320547945203,4.460267671232876,0.437095890410959,0.0,326.44,99.98654794520549,0.8535724062886284,4.6487,800.49072265625,49106855.0,67.2749805493459,2730.9849933122,662.94,624.62,602.01,674.05,604.65,590.6700000000001,79.37193989071038,79.18224657534246,81.30484931506848,78.82638356164384,79.46377049180329,100.05368852459014,100.00630136986302,100.0386301369863,100.0292602739726,100.2443442622951,1143.9407,1214.5337999999997,1152.5403,1097.5488,1203.9931,4.304562841530054,4.343835616438356,4.636520547945206,4.42358904109589,4.30103825136612,633.56,36.84268041280425,79.95301192704044,100.03287334381315,1170.3382666666666,4.428306335304538,619.2,33.011582815733156,79.6298379669137,100.07444491354143,1162.51134,4.401909259675125,606.25,37.64895793157279,79.28851439906751,100.07212601456483,1161.3043,4.38972383518869,22.610000000000014,94.64999999999998,0.18969331536791856,0.04738715472711874,-70.5930999999996,-0.0392727749083015,11
Kyiv,UKR,50.45,30.52,Europe,EUR,LowerMid,2002,365.0,8.276027397260274,34.94,-23.16,10.767137596976015,9.058,33.910645161290326,0.4921,0.0,0.0,130.0,37.0,0.0,78.0,10.0,68.0,662.94,1.81627397260274,38.19,4.196123647010005,-2.02,4.0,30.0,132.0,76.00164383561643,99.42,3.4818082191780824,152.0,4.306602739726027,10.76,1.7696432770517487,4.0,48.9227,1189.2793,3.258299452054794,4.402209589041096,0.4470136986301369,0.0,330.38,100.10328767123286,0.7793041676388188,4.8706,903.011901855469,48677281.0,67.2672733350904,2786.00498673634,585.39,664.96,624.62,602.01,674.05,604.65,78.88021917808219,79.37193989071038,79.18224657534246,81.30484931506848,78.82638356164384,99.98654794520549,100.05368852459014,100.00630136986302,100.0386301369863,100.0292602739726,1175.0927,1143.9407,1214.5337999999997,1152.5403,1097.5488,4.178794520547946,4.304562841530054,4.343835616438356,4.636520547945206,4.42358904109589,630.5300000000001,31.888425799967465,79.14480188137834,100.01551261321954,1177.855733333333,4.275730992838785,634.058,33.67222252836915,79.51312770416946,100.02288565012353,1156.73126,4.37746051351149,622.7771428571428,33.64714634471788,79.29222085699314,100.05652523178595,1159.0125857142857,4.3486396864607055,40.34000000000003,17.730000000000018,-0.4917207126281937,-0.06714057938465601,31.151999999999816,-0.12576832098210833,12
Kyiv,UKR,50.45,30.52,Europe,EUR,LowerMid,2003,365.0,6.757342465753426,30.01,-26.68,11.201162287880129,8.931397260273974,31.11283410138249,-1.013,0.0,0.0,159.0,42.0,0.0,63.0,1.0,52.0,585.39,1.6038082191780825,46.85,3.691457694214309,-77.55,1.0,34.0,125.0,80.03282191780822,99.31,2.811369863013698,180.0,4.311068493150684,12.01,1.625247135296754,2.0,49.0751,1211.3163,3.318674794520548,4.507905479452056,0.4404931506849315,0.0,336.5,100.1866301369863,0.8556363788581749,5.3303,1076.48156738281,48315136.0,67.419679868405,2914.06696251373,638.8800000000001,662.94,664.96,624.62,602.01,674.05,76.00164383561643,78.88021917808219,79.37193989071038,79.18224657534246,81.30484931506848,100.10328767123286,99.98654794520549,100.05368852459014,100.00630136986302,100.0386301369863,1189.2793,1175.0927,1143.9407,1214.5337999999997,1152.5403,4.306602739726027,4.178794520547946,4.304562841530054,4.343835616438356,4.636520547945206,650.84,22.729637040657863,78.08460096813634,100.04784138034283,1169.4375666666667,4.263320033934676,645.7160000000001,30.923570783465664,78.94817975896399,100.03769112957556,1175.07736,4.354063253237518,631.9857142857143,34.69366457877818,79.00443612118102,100.06600859773508,1168.1326714285715,4.356420508378514,-2.019999999999982,-42.360000000000014,-2.8785753424657514,0.11673972602737592,14.186599999999999,0.12780821917808094,13
Kyiv,UKR,50.45,30.52,Europe,EUR,LowerMid,2004,366.0,7.457049180327868,30.7,-21.56,9.891801505399924,8.611475409836066,27.69290322580645,-0.1585,0.0,0.0,133.0,39.0,0.0,80.0,0.0,31.0,638.8800000000001,1.7455737704918035,26.77,3.4826250646772694,53.49,4.0,36.0,108.0,81.19795081967213,99.2,3.867049180327869,192.0,4.310355191256831,10.88,1.6735291672072905,1.0,49.0507,1156.0970000000002,3.158734972677596,4.4870489071038255,0.4204371584699453,0.0,321.16,100.01278688524587,0.7660779984199703,4.0735,1401.01806640625,47979507.0,67.5970968423685,2957.98499344051,727.21,585.39,662.94,664.96,624.62,602.01,80.03282191780822,76.00164383561643,78.88021917808219,79.37193989071038,79.18224657534246,100.1866301369863,100.10328767123286,99.98654794520549,100.05368852459014,100.00630136986302,1211.3163,1189.2793,1175.0927,1143.9407,1214.5337999999997,4.311068493150684,4.306602739726027,4.178794520547946,4.304562841530054,4.343835616438356,637.7633333333334,45.367881076080366,78.30489497716894,100.09215525114155,1191.8961,4.265488584474887,627.984,35.66987706735213,78.69377427951193,100.06729112957557,1186.8325599999998,4.288972842278613,631.2314285714285,35.78195980685037,79.08572918203886,100.05776372269096,1169.1788428571429,4.357853400062024,-77.55000000000007,-75.53000000000009,4.031178082191786,0.0833424657534323,22.037000000000035,0.004465753424657493,14
Kyiv,UKR,50.45,30.52,Europe,EUR,LowerMid,2005,365.0,7.40904109589041,33.11,-28.37,10.876032799812265,8.84104109589041,29.75837557603687,-0.0601,0.0,0.0,150.0,36.0,0.0,57.0,1.0,46.0,727.21,1.9923561643835617,24.0,3.915544245814405,88.33,3.0,47.0,126.0,81.36476712328766,99.68,3.800109589041096,196.0,4.002164383561643,10.66,1.7220735569484735,1.0,39.2637,1234.3123,3.381677534246576,4.523033150684931,0.4567397260273972,0.0,342.89,100.14172602739728,0.8835437086937816,5.0643,1875.33508300781,47585556.0,67.8136046317755,2964.77701596962,635.72,638.8800000000001,585.39,662.94,664.96,624.62,81.19795081967213,80.03282191780822,76.00164383561643,78.88021917808219,79.37193989071038,100.01278688524587,100.1866301369863,100.10328767123286,99.98654794520549,100.05368852459014,1156.0970000000002,1211.3163,1189.2793,1175.0927,1143.9407,4.310355191256831,4.311068493150684,4.306602739726027,4.178794520547946,4.304562841530054,629.07,39.69480696514383,79.07747219103226,100.10090156448835,1185.5642,4.309342141377848,635.358,32.640294422691916,79.09691512837787,100.06858823265213,1175.1452000000002,4.282276757242309,636.1214285714286,33.829561741457056,79.42452450461433,100.05541038144429,1177.5428714285715,4.3416771357993005,53.49000000000012,131.0400000000002,1.165128901863909,-0.17384325174042203,-55.21929999999975,-0.0007133018938532132,15
